totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
 100, 1, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,3.5, 2.332526680034175, 46.25785121069498, -2.4204151049835767,0.49386709422038577, 6.533614348396237, 2.0970177451281113, 7.720266613052803, 74.80367873937546, 28.545827528680476,45.790276430135165, orange 
 100, 2, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,4.0, 2.665462359834825, 45.92491553089431, -2.386828993975181,0.49500724236911764, 6.544032431017963, 2.1652028954736915, 7.701421714296156, 74.29702916889315, 28.372113637998837,45.46270240127391, yellow 
 100, 3, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,4.5, 2.9982849411581896, 45.59209294957094, -2.352874421065201,0.49667639402905484, 6.553902972170776, 2.233297397884176, 7.681951752816714, 73.78979294755918, 28.197699997988238,45.13517722748844, green 
 100, 4, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,5.0, 3.330980204452654, 45.259397686276486, -2.318544441461877,0.4988831884228755, 6.563215374232364, 2.301291243425462, 7.661857386621946, 73.28200054124544, 28.02260285496895,44.80771638708395, blue 
 100, 5, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,5.5, 3.663533901115124, 44.926843989614014, -2.283831944444754,0.5016364047586483, 6.571958913897408, 2.3691744288031145, 7.641139478239187, 72.77368252416058, 27.846838534546563,44.48033535434426, red 
 100, 6, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,6.0, 3.9959317502493934, 44.59444614047976, -2.248729649135987,0.5049449664802135, 6.580122738508247, 2.4369369601206743, 7.619799095277894, 72.26486958064439, 27.670423440164626,44.15304960372173, orange 
 100, 7, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,6.5, 4.328159435420302, 44.26221845530884, -2.21323010014783,0.5088179456383322, 6.587695862253769, 2.5045688566494384, 7.597837510917283, 71.75559250705716, 27.49337405174832,43.825874613997364, yellow 
 100, 8, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,7.0, 4.660202601403309, 43.93017528932583, -2.177325663103076,0.5132645673860288, 6.594667162233124, 2.5720601546077866, 7.575256204319361, 71.24588221376483, 27.315706924439,43.49882587241463, green 
 100, 9, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,7.5, 4.992046850929138, 43.5983310398, -2.141008520024977,0.5182942146015945, 6.601025374380905, 2.639400910948555, 7.552056860967345, 70.73576972721754, 27.137438687417543,43.17191887878674, blue 
 100, 10, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,8.0, 5.323677741423168, 43.26670014930596, -2.1042706645932503,0.5239164326428014, 6.606759089250299, 2.706581207152582, 7.528241372929568, 70.2252861921219, 26.958586042815938,42.84516914957984, red 
 100, 11, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,8.5, 5.655080781739237, 42.935297108989914, -2.067103897262651,0.5301409342359185, 6.611856747650719, 2.773591153026783, 7.503811839048976, 69.71446287370587, 26.779165764715955,42.51859222197373, orange 
 100, 12, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,9.0, 5.9862414288875865, 42.60413646184156, -2.029499820240485,0.536977604503228, 6.6163066361363025, 2.840420890505098, 7.478770565058285, 69.20333116007458, 26.59919469823302,42.1922036579002, yellow 
 100, 13, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,9.5, 6.317145084756679, 42.27323280597247, -1.9914498323195176,0.5444365061327261, 6.620096882341682, 2.907060597450501, 7.453120063621057, 68.69192256465728, 26.418689758684806,41.86601904806181, green 
 100, 14, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,10.0, 6.647777092828614, 41.942600797900525, -1.952945123562504,0.5525278846938302, 6.62321545016129, 2.9735004914564787, 7.426863054298772, 68.18026872874317, 26.237667930842647,41.540054015931105, blue 
 100, 15, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,10.5, 6.978122734887979, 41.612255155841154, -1.9139766698346459,0.5612621741029, 6.625650134768511, 3.03973083364625, 7.400002463444204, 67.66840142410578, 26.056146268264627,41.21432422173209, red 
 100, 16, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,11.0, 7.308167227723877, 41.28221066300526, -1.8745352271801794,0.5706500022424676, 6.627388557470857, 3.105741932468023, 7.372541424021284, 67.15635255571415, 25.87414189270889,40.888845366404595, orange 
 100, 17, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,11.5, 7.63789571982504, 40.95248217090409, -1.834611326039258,0.5807021967380899, 6.628418160397372, 3.1715241474846576, 7.34448327535176, 66.64415416452985, 25.69167199362576,40.56363319555279, yellow 
 100, 18, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,12.0, 7.967293288067849, 40.623084602661294, -1.7941952653012843,0.5914297908967894, 6.6287262010143735, 3.237067893155973, 7.315831562788932, 66.13183843038871, 25.508753827727418,40.23870350337917, green 
 100, 19, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,12.5, 8.296344934397212, 40.29403295633193, -1.7532771061907617,0.602844029811072, 6.628299746465694, 3.3023636426121543, 7.286590037318786, 65.61943767496494, 25.32540471863301,39.914072136603615, blue 
 100, 20, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,13.0, 8.625035582500185, 39.96534230822897, -1.7118466659818012,0.6149563766325283, 6.627125667733442, 3.3674019314164343, 7.256762655088897, 65.1069843648175, 25.141642056588537,39.58975499837001, red 
 100, 21, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,13.5, 8.953350074472391, 39.63702781625676, -1.6698935115372926,0.6277785190190557, 6.62519063361543, 3.4321733613155425, 7.226353576865443, 64.59451111451598, 24.95748329825922,39.26576805213982, orange 
 100, 22, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,14.0, 9.281273167477213, 39.30910472325192, -1.6274069526688693,0.641322375759714, 6.62248110451528, 3.4966686039761288, 7.195367167418743, 64.0820506898451, 24.772945966593184,38.94212732557405, yellow 
 100, 23, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,14.5, 9.608789530397832, 38.9815883603313, -1.584376035313698,0.6556001035812524, 6.618983326041326, 3.5608784047056017, 7.163807994837752, 63.56963601108594, 24.58804765075464,38.61884891440377, green 
 100, 24, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,15.0, 9.935883740482241, 38.654494150246904, -1.540789534524198,0.6706241041403131, 6.6146833224103805, 3.624793586155675, 7.131680829773909, 63.05730015637194, 24.402806006125033,38.29594898629002, blue 
 100, 25, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,15.5, 10.2625402799814, 38.327837610747736, -1.4966359472668156,0.6864070312052781, 6.609566889652499, 3.688405052007016, 7.098990644614847, 62.54507636511812, 24.217238754370385,37.973443784673314, red 
 100, 26, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,16.0, 10.588743532780702, 38.00163435794843, -1.4519034850260555,0.7029617980316873, 6.6036195886129, 3.751703790633263, 7.065742612588433, 62.03299804152169, 24.031363683573254,37.651349632613396, orange 
 100, 27, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,16.5, 10.91447778102509, 37.67590010970406, -1.4065800662099437,0.7203015849351047, 6.596826737747288, 3.814680878742911, 7.03194210679761, 61.5210987581315, 23.84519864842744,37.329682936619314, yellow 
 100, 28, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,17.0, 11.239727201738063, 37.350650688991095, -1.3606533083532995,0.738439847065206, 6.589173405706865, 3.877327484997296, 6.9975946991866085, 61.00941225948474, 23.658761570493645,37.008460190469876, green 
 100, 29, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,17.5, 11.56447586343505, 37.02590202729408, -1.3141105201152063,0.757390322384774, 6.580644403709444, 3.9396348736031053, 6.962706159439032, 60.49797246580868, 23.4720704385146,36.68769797902537, blue 
 100, 30, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,18.0, 11.888707722731493, 36.70167016799766, -1.2669386930672708,0.7771670398571506, 6.5712242776931955, 4.001594407877733, 6.927282453808394, 59.98681347678512, 23.28514330878746,36.36741298202986, red 
 100, 31, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,18.5, 12.21240662094625, 36.377971269782904, -1.2191244932692573,0.7977843278455969, 6.560897300249684, 4.063197553785965, 6.891329743881637, 59.47596957537452, 23.097998305591616,36.04762197790387, orange 
 100, 32, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,19.0, 12.535556280700828, 36.05482161002831, -1.1706542526291397,0.8192568227277307, 6.549647462333057, 4.124435883446163, 6.854854385276296, 58.96547523169882, 22.910653621670505,35.728341847528576, yellow 
 100, 33, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,19.5, 12.858140302515114, 35.73223758821402, -1.1215139600445045,0.8415994777281293, 6.53745846474241, 4.185301078604497, 6.817862926271841, 58.455365106978896, 22.723127518764876,35.40958957801984, green 
 100, 34, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,20.0, 13.180142161400392, 35.41023572932875, -1.0716892523226917,0.8648275719718681, 6.524313709374618, 4.245784934075508, 6.780362106375842, 57.94567405752471, 22.535438328195966,35.09138226649274, blue 
 100, 35, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,20.5, 13.501545203450336, 35.088832687278796, -1.0211654048772685,0.8889567197615035, 6.510196290245181, 4.305879361147383, 6.7423588548255875, 57.43643713877519, 22.347604451496395,34.77373712381577, red 
 100, 36, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,21.0, 13.822332642430995, 34.76804524829814, -0.969927322198755,0.9140028800797085, 6.495088984274948, 4.365576390950298, 6.703860289025822, 56.927689609385055, 22.15964436108692,34.456671478354636, orange 
 100, 37, 1.5, 8.0,3.0, 3.0, 7.416198487095663, 22.024312837042164, -5.291502622129181, 131.40962210927086,21.5, 14.142487556370654, 34.447890334358476, -0.9179595280978505,0.9399823663194118, 6.478974241840916, 4.424868177786231, 6.664873712923205, 56.41946693535515, 21.971576600996677,34.14020277970432, yellow 
